Tipo_de_Ca,X,Y,Uso_del_Su,pH_seco,Cond_Seco,T_Seco,STD_seco,Sal_seco,CE,SAL
Pozo,1201612.0,1750448.0,Urbano,7.68,4150.0,32.6,2035.311427,2.2825,4150.0,2.2825
Pozo,1202084.0,1750286.0,Urbano,7.67,4860.0,31.8,2383.521334,2.673,4860.0,2.673
Pozo,1199012.0,1758270.0,Urbano,7.25,3520.0,32.3,1726.336439,1.936,3520.0,1.936
Pozo,1186430.0,1790218.0,Forestal,7.53,5990.0,33.8,2937.714566,3.2945,5990.0,3.2945
Pozo,1186563.0,1790230.0,Forestal,7.6,5270.0,33.6,2584.600294,2.8985,5270.0,2.8985
Pozo,1187348.0,1790907.0,Forestal,7.33,5330.0,33.7,2614.026484,2.9315,5330.0,2.9315
Pozo,1187298.0,1791417.0,Forestal,7.26,7290.0,33.8,3575.282001,4.0095,7290.0,4.0095
Pozo,1181905.0,1792255.0,Forestal,7.12,6420.0,33.1,3149.0,3.531,6420.0,3.531
Pozo,1141883.0,1766781.0,Forestal,7.87,2431.0,31.6,1192.251103,1.33705,2431.0,1.3371
Aljibe,1142687.0,1766331.0,Forestal,6.99,1467.0,31.5,719.470329,0.80685,1467.0,0.8068
Aljibe,1143717.0,1766189.0,Forestal,7.56,1771.0,32.6,868.563021,0.97405,1771.0,0.974
Aljibe,1141303.0,1765418.0,Forestal,6.96,1035.0,31.5,507.601766,0.56925,1035.0,0.5693
Pozo,1135730.0,1749430.0,Forestal,9.49,756.0,25.0,370.769985,0.4158,756.0,0.4158
Pozo,1134809.0,1775187.0,Forestal,7.84,1802.0,32.2,883.766552,0.9911,1802.0,0.9911
Aljibe,1192827.485,1788522.61,Forestal,6.68,8122.0,33.3,3980.0,4.561,8122.0,4.561
Aljibe,1260458.962,1846673.865,Forestal,7.51,6192.0,31.9,3035.0,3.425,6192.0,3.425
Aljibe,1261293.107,1847985.242,Forestal,7.67,2508.0,31.1,1230.0,1.343,2508.0,1.343
Aljibe,1261216.318,1847960.368,Forestal,7.43,5078.0,31.7,2489.0,2.78,5078.0,2.78
Aljibe,1259910.091,1844637.058,Forestal,7.46,1128.0,30.3,553.0,6.489,1128.0,6.489
Aljibe,1261377.047,1844302.032,Forestal,7.6,3952.0,31.0,1937.0,2.141,3952.0,2.141
Manantial,1249602.374,1850351.138,Forestal,7.85,15030.0,29.0,7630.0,8.81,15030.0,8.81
Aljibe,1208205.401,1803252.359,Forestal,7.08,7004.0,31.1,3432.0,3.899,7004.0,3.899
Aljibe,1208433.792,1803410.882,Forestal,7.16,6691.0,30.1,3289.0,3.716,6691.0,3.716
Aljibe,1213501.432,1807643.351,Forestal,7.53,7390.0,29.9,3621.0,4.13,7390.0,4.13
Aljibe,1213013.001,1807755.132,Forestal,7.4,3938.0,25.0,1930.0,2.13,3938.0,2.13
Aljibe,1210477.099,1806806.349,Forestal,7.77,2033.0,31.0,996.7,1.086,2033.0,1.086
Pozo,1189724.329,1781858.811,Forestal,7.76,3984.0,33.8,1953.0,2.159,3984.0,2.159
Aljibe,1190885.604,1782618.313,Forestal,7.06,6238.0,33.3,3057.0,3.451,6238.0,3.451
Aljibe,1190954.406,1783205.205,Forestal,7.11,3034.0,33.3,1487.0,1.631,3034.0,1.631
Pozo,1190785.606,1785445.035,Forestal,7.62,1307.0,33.8,641.2,0.702,1307.0,0.702
